Timestamp*,Is Descending?,*in ISO format: https://en.wikipedia.org/wiki/ISO_8601
2024-06-26T02:56:13,-,
2024-06-26T02:53:58,true,
2024-06-26T02:52:46,true,
2024-06-26T02:52:11,true,
2024-06-26T02:50:28,true,
2024-06-26T02:47:39,true,
2024-06-26T02:44:17,true,
2024-06-26T02:43:42,true,
2024-06-26T02:38:19,true,
2024-06-26T02:25:29,true,
2024-06-26T02:21:41,true,
2024-06-26T02:15:46,true,
2024-06-26T02:09:14,true,
2024-06-26T02:07:01,true,
2024-06-26T02:04:58,true,
2024-06-26T02:04:02,true,
2024-06-26T01:59:04,true,
2024-06-26T01:57:31,true,
2024-06-26T01:57:30,true,
2024-06-26T01:54:21,true,
2024-06-26T01:53:45,true,
2024-06-26T01:51:46,true,
2024-06-26T01:38:20,true,
2024-06-26T01:35:22,true,
2024-06-26T01:30:12,true,
2024-06-26T01:29:33,true,
2024-06-26T01:28:27,true,
2024-06-26T01:28:16,true,
2024-06-26T01:27:28,true,
2024-06-26T01:20:27,true,
2024-06-26T01:19:54,true,
2024-06-26T01:18:53,true,
2024-06-26T01:12:46,true,
2024-06-26T01:08:15,true,
2024-06-26T01:07:10,true,
2024-06-26T01:05:20,true,
2024-06-26T01:01:31,true,
2024-06-26T01:01:19,true,
2024-06-26T01:00:57,true,
2024-06-26T01:00:57,true,
2024-06-26T00:54:52,true,
2024-06-26T00:53:57,true,
2024-06-26T00:47:49,true,
2024-06-26T00:43:51,true,
2024-06-26T00:41:25,true,
2024-06-26T00:39:54,true,
2024-06-26T00:36:49,true,
2024-06-26T00:36:43,true,
2024-06-26T00:33:16,true,
2024-06-26T00:32:55,true,
2024-06-26T00:32:33,true,
2024-06-26T00:30:34,true,
2024-06-26T00:27:49,true,
2024-06-26T00:26:00,true,
2024-06-26T00:21:57,true,
2024-06-26T00:20:17,true,
2024-06-26T00:12:28,true,
2024-06-26T00:05:17,true,
2024-06-26T00:04:08,true,
2024-06-26T00:03:56,true,
2024-06-26T00:01:35,true,
2024-06-26T00:01:04,true,
2024-06-25T23:59:28,true,
2024-06-25T23:58:19,true,
2024-06-25T23:56:49,true,
2024-06-25T23:55:47,true,
2024-06-25T23:50:36,true,
2024-06-25T23:49:42,true,
2024-06-25T23:46:01,true,
2024-06-25T23:45:27,true,
2024-06-25T23:42:09,true,
2024-06-25T23:41:33,true,
2024-06-25T23:39:51,true,
2024-06-25T23:38:59,true,
2024-06-25T23:34:11,true,
2024-06-25T23:31:44,true,
2024-06-25T23:29:48,true,
2024-06-25T23:28:47,true,
2024-06-25T23:23:59,true,
2024-06-25T23:20:56,true,
2024-06-25T23:20:26,true,
2024-06-25T23:17:39,true,
2024-06-25T23:16:00,true,
2024-06-25T23:15:02,true,
2024-06-25T23:11:20,true,
2024-06-25T23:11:05,true,
2024-06-25T23:10:46,true,
2024-06-25T23:09:43,true,
2024-06-25T23:01:59,true,
2024-06-25T22:55:02,true,
2024-06-25T22:45:32,true,
2024-06-25T22:44:52,true,
2024-06-25T22:41:09,true,
2024-06-25T22:37:06,true,
2024-06-25T22:35:05,true,
2024-06-25T22:29:08,true,
2024-06-25T22:28:44,true,
2024-06-25T22:28:14,true,
2024-06-25T22:26:52,true,
2024-06-25T22:26:18,true,
