Timestamp*,Is Descending?,*in ISO format: https://en.wikipedia.org/wiki/ISO_8601
1719371661,-,
1719371546,true,
1719371060,true,
1719371022,true,
1719370959,true,
1719370946,true,
1719370938,true,
1719370879,true,
1719370573,true,
1719370366,true,
1719370331,true,
1719370228,true,
1719370059,true,
1719369857,true,
1719369822,true,
1719369499,true,
1719368729,true,
1719368501,true,
1719368146,true,
1719367754,true,
1719367621,true,
1719367498,true,
1719367442,true,
1719367144,true,
1719367051,true,
1719367050,true,
1719366861,true,
1719366825,true,
1719366706,true,
1719365900,true,
1719365722,true,
1719365412,true,
1719365373,true,
1719365307,true,
1719365296,true,
1719365248,true,
1719364827,true,
1719364794,true,
1719364733,true,
1719364366,true,
1719364095,true,
1719364030,true,
1719363920,true,
1719363691,true,
1719363679,true,
1719363657,true,
1719363657,true,
1719363292,true,
1719363237,true,
1719362869,true,
1719362631,true,
1719362485,true,
1719362394,true,
1719362209,true,
1719362203,true,
1719361996,true,
1719361975,true,
1719361953,true,
1719361834,true,
1719361669,true,
1719361560,true,
1719361317,true,
1719361217,true,
1719360748,true,
1719360317,true,
1719360248,true,
1719360236,true,
1719360095,true,
1719360064,true,
1719359968,true,
1719359899,true,
1719359809,true,
1719359747,true,
1719359436,true,
1719359382,true,
1719359161,true,
1719359127,true,
1719358929,true,
1719358893,true,
1719358791,true,
1719358739,true,
1719358451,true,
1719358304,true,
1719358188,true,
1719358127,true,
1719357839,true,
1719357656,true,
1719357626,true,
1719357459,true,
1719357360,true,
1719357302,true,
1719357080,true,
1719357065,true,
1719357046,true,
1719356983,true,
1719356519,true,
1719356102,true,
1719355532,true,
1719355492,true,
1719355269,true,
